,angle,batt kwh,total cost,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2
0,s20,25,40138.80209464106,"(40.0, 40.0, 40.0, 40.0)","(49.034, 49.034, 48.066, 44.231)","(50.143, 50.143, 50.143, 50.143)","(112.933, 112.933, 112.167, 112.764)","(54.972, 54.972, 54.972, 54.972)","(79.782, 79.782, 79.782, 79.782)","(45.798, 45.798, 22.955, 22.268)","(52.968, 52.968, 24.055, 23.928)","(46.084, 46.084, 28.208, 21.471)","(49.006, 49.006, 29.729, 20.267)"
1,s20w90_50_50,25,39197.60968487105,"(42.994, 42.994, 40.151, 39.921)","(39.0, 39.0, 38.0, 38.0)","(47.413, 47.413, 47.413, 47.413)","(112.568, 112.568, 112.201, 112.562)","(53.869, 53.869, 53.869, 53.869)","(79.79, 79.79, 79.79, 79.79)","(45.825, 45.825, 22.949, 22.375)","(53.0, 53.0, 26.0, 23.0)","(48.79, 48.79, 29.105, 21.409)","(49.027, 49.027, 30.677, 20.374)"
2,w90,25,40449.58267086619,"(43.004, 43.004, 40.143, 39.958)","(38.574, 38.574, 37.994, 37.034)","(46.494, 46.494, 46.494, 46.494)","(112.69, 112.69, 112.17, 112.27)","(53.324, 53.324, 53.324, 53.206)","(79.895, 79.895, 79.855, 79.782)","(52.701, 52.701, 23.09, 22.285)","(52.881, 52.881, 23.006, 22.841)","(48.777, 48.777, 30.1, 21.378)","(49.033, 49.033, 31.634, 20.333)"
3,s20,50,34450.0892674169,"(36.0, 36.0, 35.0, 30.0)","(32.765, 32.765, 32.765, 32.765)","(45.833, 45.833, 44.01, 43.34)","(42.884, 42.884, 42.005, 41.881)","(48.633, 48.633, 47.989, 47.065)","(62.408, 62.408, 62.408, 62.399)","(33.0, 33.0, 19.0, 16.0)","(39.698, 39.698, 19.97, 19.323)","(38.988, 38.988, 36.667, 16.703)","(39.0, 39.0, 28.0, 15.0)"
4,s20w90_50_50,50,32950.304381616304,"(36.0, 36.0, 33.0, 30.0)","(29.453, 29.453, 29.453, 29.453)","(38.207, 38.207, 38.207, 38.207)","(38.586, 38.586, 38.586, 38.571)","(45.91, 45.91, 44.965, 44.61)","(62.301, 62.301, 62.301, 62.292)","(35.886, 35.886, 16.054, 15.923)","(39.916, 39.916, 20.097, 18.691)","(41.978, 41.978, 32.979, 16.802)","(38.549, 38.549, 26.524, 15.543)"
5,w90,50,34335.11495966947,"(38.99, 38.99, 36.191, 28.85)","(28.889, 28.889, 28.118, 27.21)","(38.712, 38.712, 38.052, 37.196)","(38.179, 38.179, 38.179, 38.179)","(45.88, 45.88, 44.062, 43.869)","(62.304, 62.304, 62.304, 62.304)","(42.871, 42.871, 16.013, 15.877)","(42.0, 42.0, 22.0, 18.0)","(42.914, 42.914, 35.122, 16.812)","(38.667, 38.667, 26.916, 15.675)"
6,s20,75,30517.764945893447,"(33.062, 33.062, 29.036, 22.926)","(26.0, 26.0, 26.0, 26.0)","(38.882, 38.882, 37.072, 36.888)","(36.0, 36.0, 36.0, 34.0)","(40.0, 40.0, 40.0, 40.0)","(52.852, 52.852, 50.94, 50.602)","(29.167, 29.167, 14.373, 11.7)","(33.0, 33.0, 23.0, 14.0)","(42.233, 42.233, 26.109, 12.775)","(28.832, 28.832, 26.626, 10.706)"
7,s20w90_50_50,75,29184.58581219508,"(33.0, 33.0, 32.0, 21.0)","(29.747, 29.747, 29.747, 20.473)","(32.752, 32.752, 31.96, 31.338)","(33.0, 33.0, 32.0, 31.0)","(38.721, 38.721, 38.001, 37.278)","(52.847, 52.847, 50.203, 49.182)","(31.911, 31.911, 15.314, 10.75)","(33.012, 33.012, 25.05, 12.967)","(42.93, 42.93, 30.255, 12.291)","(28.631, 28.631, 28.056, 10.538)"
8,w90,75,30053.387012569507,"(33.0, 33.0, 30.0, 21.0)","(19.59, 19.59, 19.59, 19.59)","(28.451, 28.451, 28.44, 28.4)","(33.07, 33.07, 32.365, 29.825)","(38.993, 38.993, 37.173, 36.733)","(55.844, 55.844, 49.086, 48.606)","(35.922, 35.922, 18.077, 9.754)","(36.02, 36.02, 24.97, 12.525)","(42.411, 42.411, 36.295, 12.381)","(32.189, 32.189, 28.27, 10.671)"
9,s20,100,26787.85645159785,"(29.967, 29.967, 29.678, 15.279)","(19.479, 19.479, 19.423, 19.413)","(32.926, 32.926, 31.051, 30.91)","(28.299, 28.299, 28.299, 28.171)","(35.747, 35.747, 35.107, 34.478)","(42.908, 42.908, 41.059, 40.625)","(23.108, 23.108, 14.305, 6.712)","(26.834, 26.834, 26.639, 9.13)","(39.0, 39.0, 36.0, 8.0)","(23.103, 23.103, 22.225, 7.714)"
