,angle,batt kwh,total cost,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2
0,s20,25,41615.65595038819,"(39.981, 39.981, 39.981)","(44.309, 44.309, 44.309)","(50.141, 50.141, 50.141)","(112.922, 112.518, 112.184)","(54.971, 54.971, 54.971)","(79.791, 79.791, 79.791)","(51.692, 43.341, 47.266)","(53.421, 51.488, 39.692)","(45.905, 45.905, 37.081)","(52.736, 46.438, 41.203)"
1,w90,25,42051.72104236417,"(41.752, 41.752, 41.752)","(37.02, 37.02, 37.02)","(46.58, 46.58, 46.58)","(112.696, 112.482, 112.152)","(53.432, 53.432, 53.432)","(79.79, 79.79, 79.79)","(53.564, 51.972, 41.821)","(53.599, 51.818, 35.407)","(49.035, 48.0, 38.845)","(48.796, 48.416, 40.393)"
2,s20w90,25,40684.07882352626,"(40.986, 40.986, 40.986)","(38.007, 38.007, 38.007)","(47.486, 47.486, 47.486)","(112.974, 112.183, 112.479)","(53.942, 53.942, 53.942)","(79.778, 79.778, 79.778)","(48.412, 45.804, 43.768)","(53.219, 51.657, 36.158)","(49.575, 46.505, 38.022)","(50.442, 46.9, 40.442)"
3,s20,50,36741.99003856055,"(34.847, 34.847, 34.847)","(32.793, 32.793, 32.793)","(43.412, 43.412, 43.412)","(41.905, 41.905, 41.905)","(47.119, 47.119, 47.119)","(62.376, 62.376, 62.376)","(32.995, 32.995, 32.995)","(41.073, 39.503, 40.893)","(40.101, 38.001, 37.912)","(40.538, 37.696, 40.01)"
4,w90,50,36864.16436240003,"(36.927, 36.927, 36.927)","(27.291, 27.291, 27.291)","(37.22, 37.22, 37.22)","(38.212, 38.212, 38.212)","(44.1, 44.1, 44.1)","(62.345, 62.345, 62.345)","(43.272, 42.705, 41.2)","(40.0, 40.0, 40.0)","(44.45, 40.695, 39.79)","(37.488, 37.488, 37.488)"
5,s20w90,50,35622.23563245528,"(35.976, 35.976, 35.976)","(29.46, 29.46, 29.46)","(38.449, 38.449, 38.449)","(38.647, 38.647, 38.647)","(44.747, 44.747, 44.747)","(62.404, 62.404, 62.404)","(35.852, 35.852, 35.852)","(42.16, 41.281, 36.026)","(39.147, 39.147, 39.147)","(39.257, 38.453, 39.257)"
6,s20,75,32592.5754799855,"(30.779, 30.779, 30.779)","(25.845, 25.845, 25.845)","(36.895, 36.895, 36.895)","(34.248, 34.248, 34.248)","(40.0, 40.0, 40.0)","(50.733, 50.733, 50.733)","(26.755, 26.755, 26.755)","(30.34, 30.34, 30.34)","(31.721, 31.721, 31.721)","(28.291, 28.291, 28.291)"
7,w90,75,33120.448361468334,"(32.766, 32.766, 32.766)","(19.653, 19.653, 19.653)","(28.726, 28.726, 28.726)","(30.234, 30.234, 30.234)","(36.753, 36.753, 36.753)","(53.285, 53.285, 53.285)","(36.0, 36.0, 36.0)","(32.466, 32.466, 32.466)","(34.61, 34.61, 34.61)","(29.513, 29.513, 29.513)"
8,s20w90,75,31563.851081191027,"(31.973, 31.973, 31.973)","(21.629, 21.629, 21.629)","(31.589, 31.589, 31.589)","(31.101, 31.101, 31.101)","(37.408, 37.408, 37.408)","(52.008, 52.008, 52.008)","(29.497, 29.497, 29.497)","(30.596, 30.596, 30.596)","(33.214, 33.214, 33.214)","(28.677, 28.677, 28.677)"
9,s20,100,28512.724179046512,"(27.005, 27.005, 27.005)","(19.416, 19.416, 19.416)","(30.784, 30.784, 30.784)","(28.178, 28.178, 28.178)","(34.353, 34.353, 34.353)","(42.735, 42.735, 42.735)","(20.888, 20.888, 20.888)","(23.206, 23.206, 23.206)","(26.314, 26.314, 26.314)","(21.11, 21.11, 21.11)"
10,w90,100,29114.01199598889,"(28.951, 28.951, 28.951)","(12.23, 12.23, 12.23)","(22.415, 22.415, 22.415)","(23.423, 23.423, 23.423)","(32.05, 32.05, 32.05)","(45.376, 45.376, 45.376)","(29.718, 29.718, 29.718)","(28.461, 28.461, 28.461)","(29.281, 29.281, 29.281)","(22.923, 22.923, 22.923)"
11,s20w90,100,27580.25723761131,"(28.174, 28.174, 28.174)","(14.485, 14.485, 14.485)","(25.267, 25.267, 25.267)","(24.852, 24.852, 24.852)","(31.842, 31.842, 31.842)","(44.005, 44.005, 44.005)","(24.2, 24.2, 24.2)","(25.822, 25.822, 25.822)","(27.703, 27.703, 27.703)","(21.402, 21.402, 21.402)"
12,s20,125,25152.18477158201,"(23.465, 23.465, 23.465)","(13.404, 13.404, 13.404)","(25.127, 25.127, 25.127)","(22.859, 22.859, 22.859)","(29.282, 29.282, 29.282)","(35.298, 35.298, 35.298)","(16.0, 16.0, 16.0)","(20.338, 20.338, 20.338)","(23.769, 23.769, 23.769)","(15.691, 15.691, 15.691)"
13,w90,125,26312.417657030735,"(25.417, 25.417, 25.417)","(11.292, 11.292, 11.292)","(17.82, 17.82, 17.82)","(19.655, 19.655, 19.655)","(27.944, 27.944, 27.944)","(37.819, 37.819, 37.819)","(25.682, 25.682, 25.682)","(25.425, 25.425, 25.425)","(25.191, 25.191, 25.191)","(17.839, 17.839, 17.839)"
14,s20w90,125,24261.685836052402,"(24.453, 24.453, 24.453)","(9.546, 9.546, 9.546)","(19.619, 19.619, 19.619)","(19.419, 19.419, 19.419)","(26.349, 26.349, 26.349)","(36.51, 36.51, 36.51)","(20.51, 20.51, 20.51)","(22.773, 22.773, 22.773)","(24.456, 24.456, 24.456)","(16.227, 16.227, 16.227)"
15,s20,150,22733.091022002343,"(21.763, 21.763, 21.763)","(10.0, 10.0, 10.0)","(19.779, 19.779, 19.779)","(18.61, 18.61, 18.61)","(24.428, 24.428, 24.428)","(33.703, 33.703, 33.703)","(12.665, 12.665, 12.665)","(17.642, 17.642, 17.642)","(21.933, 21.933, 21.933)","(12.01, 12.01, 12.01)"
16,w90,150,24520.49665430515,"(22.405, 22.405, 22.405)","(10.736, 10.736, 10.736)","(16.135, 16.135, 16.135)","(17.079, 17.079, 17.079)","(26.123, 26.123, 26.123)","(33.397, 33.397, 33.397)","(21.725, 21.725, 21.725)","(22.407, 22.407, 22.407)","(23.273, 23.273, 23.273)","(15.713, 15.713, 15.713)"
17,s20w90,150,22116.00169533559,"(21.477, 21.477, 21.477)","(8.069, 8.069, 8.069)","(15.559, 15.559, 15.559)","(16.31, 16.31, 16.31)","(23.0, 23.0, 23.0)","(33.348, 33.348, 33.348)","(16.894, 16.894, 16.894)","(20.0, 20.0, 20.0)","(22.514, 22.514, 22.514)","(12.73, 12.73, 12.73)"
18,s20,200,19924.842095460626,"(19.673, 19.673, 19.673)","(6.586, 6.586, 6.586)","(14.753, 14.753, 14.753)","(14.623, 14.623, 14.623)","(19.579, 19.579, 19.579)","(30.324, 30.324, 30.324)","(9.628, 9.628, 9.628)","(14.514, 14.514, 14.514)","(18.023, 18.023, 18.023)","(10.257, 10.257, 10.257)"
19,w90,200,22008.768831730762,"(20.0, 20.0, 20.0)","(9.0, 9.0, 9.0)","(15.197, 15.197, 15.197)","(14.953, 14.953, 14.953)","(22.689, 22.689, 22.689)","(30.255, 30.255, 30.255)","(15.021, 15.021, 15.021)","(17.348, 17.348, 17.348)","(19.346, 19.346, 19.346)","(11.889, 11.889, 11.889)"
20,s20w90,200,19558.299127291495,"(19.598, 19.598, 19.598)","(5.457, 5.457, 5.457)","(13.93, 13.93, 13.93)","(12.283, 12.283, 12.283)","(19.684, 19.684, 19.684)","(30.174, 30.174, 30.174)","(11.323, 11.323, 11.323)","(15.256, 15.256, 15.256)","(18.721, 18.721, 18.721)","(10.877, 10.877, 10.877)"
21,s20,400,15406.475462189992,"(15.52, 15.52, 15.52)","(2.233, 2.233, 2.233)","(11.454, 11.454, 11.454)","(10.581, 10.581, 10.581)","(14.606, 14.606, 14.606)","(24.011, 24.011, 24.011)","(3.307, 3.307, 3.307)","(9.608, 9.608, 9.608)","(13.537, 13.537, 13.537)","(6.0, 6.0, 6.0)"
22,w90,400,17492.257761441422,"(15.936, 15.936, 15.936)","(4.159, 4.159, 4.159)","(12.486, 12.486, 12.486)","(10.0, 10.0, 10.0)","(16.18, 16.18, 16.18)","(24.971, 24.971, 24.971)","(7.805, 7.805, 7.805)","(10.769, 10.769, 10.769)","(14.965, 14.965, 14.965)","(7.829, 7.829, 7.829)"
23,s20w90,400,15760.639176959226,"(16.0, 16.0, 16.0)","(2.304, 2.304, 2.304)","(11.523, 11.523, 11.523)","(10.0, 10.0, 10.0)","(14.742, 14.742, 14.742)","(24.442, 24.442, 24.442)","(4.97, 4.97, 4.97)","(10.236, 10.236, 10.236)","(14.295, 14.295, 14.295)","(6.552, 6.552, 6.552)"
24,s20,600,12374.558814626911,"(13.166, 13.166, 13.166)","(1.435, 1.435, 1.435)","(8.687, 8.687, 8.687)","(9.0, 9.0, 9.0)","(11.94, 11.94, 11.94)","(19.243, 19.243, 19.243)","(0.0, 0.0, 0.0)","(5.191, 5.191, 5.191)","(11.301, 11.301, 11.301)","(3.337, 3.337, 3.337)"
25,w90,600,14977.008325234034,"(12.309, 12.309, 12.309)","(3.0, 3.0, 3.0)","(10.334, 10.334, 10.334)","(8.476, 8.476, 8.476)","(14.422, 14.422, 14.422)","(20.928, 20.928, 20.928)","(5.347, 5.347, 5.347)","(7.099, 7.099, 7.099)","(12.627, 12.627, 12.627)","(5.624, 5.624, 5.624)"
26,s20w90,600,12986.613256723704,"(13.0, 13.0, 13.0)","(1.494, 1.494, 1.494)","(9.0, 9.0, 9.0)","(8.282, 8.282, 8.282)","(12.512, 12.512, 12.512)","(19.95, 19.95, 19.95)","(2.317, 2.317, 2.317)","(5.557, 5.557, 5.557)","(11.661, 11.661, 11.661)","(4.349, 4.349, 4.349)"
