,angle,batt kwh,total cost,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2
0,s20,25,39831.980483098196,"(39.956, 39.956, 39.956)","(43.959, 43.959, 43.959)","(49.343, 49.343, 49.343)","(112.764, 112.268, 112.174)","(54.692, 54.692, 54.692)","(79.787, 79.787, 79.787)","(49.066, 40.835, 47.695)","(53.725, 51.271, 40.782)","(47.402, 43.906, 42.292)","(46.782, 45.321, 39.356)"
1,w90,25,39549.516331278646,"(40.0, 40.0, 40.0)","(37.022, 37.022, 37.022)","(46.58, 46.58, 46.58)","(112.301, 112.18, 112.229)","(52.24, 52.24, 52.24)","(80.0, 80.0, 80.0)","(46.526, 43.638, 41.995)","(53.176, 51.754, 35.717)","(47.06, 45.574, 43.31)","(52.623, 46.546, 42.269)"
2,s20w90,25,38539.61896497138,"(39.99, 39.99, 39.99)","(37.181, 37.181, 37.181)","(46.997, 46.997, 46.997)","(113.015, 112.165, 112.829)","(53.57, 53.57, 53.57)","(79.989, 79.989, 79.989)","(43.411, 41.435, 41.726)","(53.292, 51.512, 38.917)","(51.339, 44.738, 47.301)","(46.836, 45.942, 39.006)"
3,s20,50,34287.55950139529,"(30.886, 30.886, 30.886)","(32.503, 32.503, 32.503)","(42.414, 42.414, 42.414)","(41.76, 41.76, 41.759)","(46.465, 46.465, 46.465)","(62.404, 62.404, 62.404)","(28.136, 28.136, 28.136)","(41.342, 39.023, 41.138)","(34.126, 34.126, 34.126)","(35.531, 35.53, 35.531)"
4,w90,50,34039.77086653517,"(33.358, 33.358, 33.358)","(26.769, 26.769, 26.769)","(36.312, 36.312, 36.312)","(37.761, 37.761, 37.761)","(43.171, 43.171, 43.171)","(62.326, 62.326, 62.326)","(39.04, 39.04, 39.04)","(40.117, 39.565, 40.026)","(39.673, 37.498, 37.033)","(39.851, 37.54, 39.053)"
5,s20w90,50,32866.08039682715,"(31.852, 31.852, 31.852)","(28.262, 28.262, 28.262)","(37.764, 37.764, 37.764)","(38.48, 38.48, 38.48)","(44.416, 44.416, 44.416)","(62.298, 62.298, 62.298)","(30.165, 30.165, 30.165)","(42.414, 39.263, 42.029)","(35.047, 35.047, 35.047)","(42.036, 37.547, 41.402)"
6,s20,75,29990.467156131454,"(26.281, 26.281, 26.281)","(25.41, 25.41, 25.41)","(36.0, 36.0, 36.0)","(34.328, 34.328, 34.328)","(39.682, 39.682, 39.682)","(50.608, 50.608, 50.608)","(21.312, 21.312, 21.312)","(29.579, 29.579, 29.579)","(27.492, 27.492, 27.492)","(27.065, 27.065, 27.065)"
7,w90,75,29463.955975647103,"(29.34, 29.34, 29.34)","(17.75, 17.75, 17.75)","(27.534, 27.534, 27.534)","(29.966, 29.966, 29.966)","(36.419, 36.419, 36.419)","(48.769, 48.769, 48.769)","(28.331, 28.331, 28.331)","(30.322, 30.322, 30.322)","(31.253, 31.253, 31.253)","(28.288, 28.288, 28.288)"
8,s20w90,75,28299.224061275512,"(27.852, 27.852, 27.852)","(20.667, 20.667, 20.667)","(29.0, 29.0, 29.0)","(30.668, 30.668, 30.668)","(37.09, 37.09, 37.09)","(48.748, 48.748, 48.748)","(23.74, 23.74, 23.74)","(29.965, 29.965, 29.965)","(29.127, 29.127, 29.127)","(27.716, 27.716, 27.716)"
9,s20,100,25660.984622758413,"(22.515, 22.515, 22.515)","(19.0, 19.0, 19.0)","(29.702, 29.702, 29.702)","(27.836, 27.836, 27.836)","(33.953, 33.953, 33.953)","(40.55, 40.55, 40.55)","(14.89, 14.89, 14.889)","(21.405, 21.405, 21.405)","(23.2, 23.2, 23.2)","(19.733, 19.733, 19.733)"
10,w90,100,25046.284413335827,"(25.464, 25.464, 25.464)","(11.778, 11.778, 11.778)","(19.774, 19.774, 19.774)","(22.806, 22.806, 22.806)","(30.121, 30.121, 30.121)","(40.343, 40.343, 40.343)","(23.549, 23.549, 23.549)","(22.843, 22.843, 22.843)","(25.891, 25.891, 25.891)","(20.992, 20.992, 20.992)"
11,s20w90,100,23761.8836561502,"(24.045, 24.045, 24.045)","(13.285, 13.285, 13.285)","(22.171, 22.171, 22.171)","(23.542, 23.542, 23.542)","(30.97, 30.97, 30.97)","(38.367, 38.367, 38.367)","(18.186, 18.186, 18.186)","(21.78, 21.78, 21.78)","(24.368, 24.368, 24.368)","(20.372, 20.372, 20.372)"
12,s20,125,21776.71516884277,"(19.148, 19.148, 19.148)","(12.531, 12.531, 12.531)","(23.747, 23.747, 23.747)","(22.264, 22.264, 22.264)","(28.665, 28.665, 28.665)","(30.878, 30.878, 30.878)","(10.0, 10.0, 10.0)","(14.574, 14.574, 14.574)","(21.132, 21.132, 21.132)","(14.255, 14.255, 14.255)"
13,w90,125,21940.768958302455,"(22.031, 22.031, 22.031)","(8.531, 8.531, 8.531)","(15.408, 15.408, 15.408)","(19.0, 19.0, 19.0)","(24.232, 24.232, 24.232)","(33.235, 33.235, 33.235)","(19.415, 19.415, 19.415)","(20.0, 20.0, 20.0)","(23.307, 23.307, 23.307)","(15.703, 15.703, 15.703)"
14,s20w90,125,20187.58012498356,"(20.602, 20.602, 20.602)","(8.329, 8.329, 8.329)","(16.311, 16.311, 16.311)","(18.939, 18.939, 18.939)","(24.996, 24.996, 24.996)","(31.488, 31.488, 31.488)","(12.717, 12.717, 12.717)","(16.69, 16.69, 16.69)","(22.207, 22.207, 22.207)","(14.78, 14.78, 14.78)"
15,s20,150,19217.270614299203,"(17.054, 17.054, 17.054)","(9.485, 9.485, 9.485)","(18.69, 18.69, 18.69)","(17.983, 17.983, 17.983)","(23.518, 23.518, 23.518)","(26.0, 26.0, 26.0)","(8.231, 8.231, 8.231)","(13.77, 13.77, 13.77)","(19.459, 19.459, 19.459)","(9.219, 9.219, 9.219)"
