,angle,batt kwh,total cost,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2
0,s20,100,12205.929819766496,"(28.645, 32.354, 0.0)","(21.589, 23.306, 0.024)","(40.145, 42.405, 0.0)","(37.299, 39.509, 0.045)","(51.899, 52.984, 6.955)","(57.05, 81.499, 26.741)","(20.877, 26.292, 0.0)","(27.214, 35.13, 0.0)","(31.76, 34.006, 0.0)","(20.962, 23.682, 0.0)"
1,w90,100,10398.178274061147,"(29.0, 26.0, 0.0)","(13.035, 17.955, 0.009)","(26.342, 28.965, 0.013)","(23.393, 31.818, 0.0)","(37.86, 41.534, 0.0)","(65.701, 67.268, 1.465)","(32.0, 20.0, 0.0)","(32.453, 37.064, 0.0)","(33.873, 40.223, 0.0)","(24.209, 26.254, 0.0)"
2,s20w90,100,10671.6823147252,"(27.956, 29.596, 0.0)","(14.438, 16.813, 0.0)","(30.823, 34.037, 0.0)","(25.702, 27.948, 0.022)","(42.971, 47.502, 1.517)","(59.355, 63.665, 13.798)","(26.0, 16.0, 0.0)","(29.803, 32.424, 0.0)","(32.818, 38.553, 0.0)","(21.402, 26.267, 0.021)"
3,s20,200,5915.416032898774,"(21.915, 26.965, 0.0)","(6.981, 9.721, 0.0)","(16.59, 22.122, 0.0)","(15.163, 18.143, 0.007)","(24.037, 33.185, 0.0)","(35.306, 40.321, 0.0)","(11.098, 17.418, 0.0)","(16.226, 21.964, 0.0)","(21.532, 23.11, 0.0)","(11.054, 13.511, 0.0)"
4,w90,200,6469.073889611021,"(21.614, 27.321, 0.0)","(9.173, 10.113, 0.0)","(15.891, 20.617, 0.009)","(15.887, 21.193, 0.0)","(26.218, 31.315, 0.0)","(34.06, 38.019, 0.0)","(16.025, 20.24, 0.0)","(20.437, 26.764, 0.0)","(23.218, 26.228, 0.0)","(14.217, 16.636, 0.0)"
5,s20w90,200,5846.078466480454,"(21.752, 23.012, 0.0)","(5.809, 8.303, 0.001)","(15.27, 15.954, 0.0)","(12.725, 13.043, 0.0)","(22.688, 25.021, 0.011)","(34.566, 36.147, 0.035)","(13.0, 13.0, 0.0)","(17.879, 21.845, 0.0)","(22.357, 23.323, 0.0)","(11.708, 15.717, 0.0)"
6,s20,400,3987.593340579589,"(16.769, 24.04, 0.0)","(2.263, 3.069, 0.0)","(12.405, 19.764, 0.093)","(11.197, 13.007, 0.0)","(15.887, 19.016, 0.067)","(26.962, 29.697, 0.0)","(3.775, 9.921, 0.0)","(10.571, 15.213, 0.0)","(14.802, 26.429, 0.0)","(6.486, 12.868, 0.0)"
7,w90,400,4486.575663733261,"(17.158, 20.819, 0.0)","(4.301, 5.998, 0.0)","(13.324, 21.005, 0.0)","(10.685, 26.296, 0.0)","(17.442, 19.019, 0.0)","(27.969, 33.535, 0.0)","(8.525, 8.98, 0.0)","(12.058, 17.639, 0.0)","(16.417, 21.595, 0.0)","(8.573, 21.374, 0.0)"
8,s20w90,400,4142.466966594848,"(16.898, 19.075, 0.0)","(2.486, 3.051, 0.0)","(12.437, 23.751, 0.0)","(10.602, 13.164, 0.049)","(16.079, 22.095, 0.0)","(27.447, 28.9, 0.0)","(5.623, 6.818, 0.0)","(11.304, 13.598, 0.093)","(15.65, 21.306, 0.0)","(7.32, 10.125, 0.0)"
9,s20,600,3009.984642381543,"(14.206, 16.003, 0.0)","(1.455, 3.05, 0.0)","(9.643, 17.818, 0.0)","(9.477, 10.12, 0.0)","(13.173, 16.293, 0.0)","(21.703, 26.738, 0.05)","(0.0, 0.0, 0.0)","(5.793, 6.002, 0.0)","(12.314, 18.089, 0.0)","(3.632, 6.141, 0.098)"
10,w90,600,3534.1340385309572,"(13.2, 19.859, 0.0)","(2.533, 3.085, 0.023)","(10.935, 18.077, 0.0)","(8.934, 21.986, 0.007)","(15.346, 23.583, 0.0)","(23.014, 31.249, 0.024)","(5.783, 5.995, 0.0)","(7.927, 14.752, 0.0)","(13.759, 26.134, 0.0)","(6.0, 6.0, 0.0)"
11,s20w90,600,3165.758587071966,"(13.686, 22.282, 0.0)","(1.611, 17.263, 0.0)","(9.758, 9.992, 0.0)","(9.0, 9.0, 0.0)","(13.539, 16.562, 0.0)","(22.104, 30.686, 0.04)","(2.461, 9.976, 0.0)","(6.213, 9.022, 0.0)","(13.0, 13.0, 0.0)","(4.68, 9.691, 0.189)"
12,s20,800,2333.8210544774556,"(12.205, 16.431, 0.0)","(0.753, 13.332, 0.01)","(7.394, 9.039, 0.0)","(7.703, 25.452, 0.0)","(10.706, 19.14, 0.0)","(18.016, 18.828, 0.0)","(0.0, 0.0, 0.0)","(2.052, 8.868, 0.0)","(10.439, 19.815, 0.0)","(1.701, 8.635, 0.0)"
13,w90,800,2892.4858533684474,"(11.107, 20.878, 0.0)","(1.735, 2.884, 0.041)","(8.637, 11.707, 0.015)","(7.604, 9.059, 0.0)","(13.259, 21.561, 0.081)","(19.767, 20.058, 0.0)","(4.043, 6.24, 0.0)","(5.739, 5.976, 0.0)","(11.931, 18.092, 0.074)","(3.936, 6.404, 0.003)"
14,s20w90,800,2494.361759674032,"(11.542, 23.443, 0.0)","(0.897, 3.14, 0.007)","(7.333, 8.949, 0.0)","(7.226, 9.003, 0.0)","(11.562, 14.58, 0.0)","(18.733, 19.056, 0.0)","(1.171, 3.153, 0.0)","(3.46, 7.303, 0.0)","(11.163, 13.035, 0.0)","(2.769, 3.006, 0.0)"
