,angle,batt kwh,total cost,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2
0,s20,25,29233.379419120567,"(40.0, 40.0, 40.0)","(50.08, 49.929, 43.956)","(49.344, 49.343, 49.344)","(80.0, 80.0, 80.0)","(54.698, 54.698, 54.698)","(79.865, 79.865, 79.795)","(40.603, 26.431, 22.309)","(51.297, 30.883, 23.223)","(43.927, 27.805, 21.262)","(45.391, 24.972, 20.19)"
1,w90,25,28755.64831692526,"(39.99, 39.99, 39.99)","(43.551, 37.082, 37.026)","(55.559, 49.638, 46.489)","(80.0, 80.0, 80.0)","(52.253, 52.253, 52.253)","(79.803, 79.803, 79.803)","(45.357, 22.935, 22.33)","(52.34, 30.536, 21.656)","(45.575, 28.95, 21.412)","(46.588, 27.743, 20.255)"
2,s20w90,25,28713.031205350406,"(40.0, 40.0, 40.0)","(41.615, 37.104, 37.054)","(49.404, 49.376, 46.993)","(80.0, 80.0, 80.0)","(53.576, 53.576, 53.576)","(80.0, 80.0, 80.0)","(41.453, 24.706, 22.272)","(51.707, 30.549, 22.402)","(44.926, 29.372, 21.324)","(45.963, 26.816, 20.263)"
3,s20,50,23190.76308275543,"(32.516, 32.516, 30.415)","(32.552, 32.515, 32.511)","(42.449, 42.449, 42.449)","(41.781, 41.781, 41.753)","(46.455, 46.455, 46.444)","(62.308, 62.308, 62.308)","(28.858, 20.008, 15.805)","(39.039, 20.383, 19.113)","(35.08, 31.259, 16.673)","(35.497, 25.478, 14.801)"
4,w90,50,22375.1297654743,"(35.955, 35.919, 28.821)","(27.795, 27.795, 26.638)","(36.243, 36.243, 36.243)","(37.817, 37.768, 37.764)","(43.126, 43.126, 43.126)","(62.33, 62.33, 62.33)","(35.926, 16.356, 15.613)","(41.546, 25.138, 16.976)","(37.579, 37.579, 16.935)","(36.736, 28.965, 15.011)"
5,s20w90,50,22419.399004662577,"(32.984, 32.984, 29.774)","(28.259, 28.259, 28.259)","(37.869, 37.784, 37.782)","(38.495, 38.495, 38.495)","(44.343, 44.343, 44.343)","(62.296, 62.296, 62.295)","(32.978, 17.863, 15.41)","(39.332, 20.253, 18.434)","(35.949, 35.886, 16.707)","(36.149, 30.304, 14.913)"
6,s20,75,19235.49340364382,"(27.982, 27.974, 22.79)","(25.339, 25.339, 25.339)","(35.978, 35.978, 35.978)","(35.518, 35.518, 33.97)","(39.503, 39.503, 39.503)","(51.8, 51.8, 50.483)","(23.0, 19.0, 11.0)","(32.179, 22.764, 13.696)","(34.09, 34.09, 12.196)","(27.058, 26.499, 10.36)"
7,w90,75,17707.68557005439,"(29.32, 29.32, 20.624)","(18.496, 18.465, 17.499)","(28.207, 28.207, 27.47)","(29.942, 29.942, 29.942)","(36.149, 36.149, 36.149)","(48.639, 48.639, 48.639)","(28.317, 14.919, 10.181)","(32.767, 25.212, 11.942)","(37.711, 37.703, 12.26)","(28.28, 26.453, 10.61)"
8,s20w90,75,18058.644096463606,"(29.496, 29.496, 21.393)","(23.0, 23.0, 20.0)","(29.019, 28.989, 28.986)","(32.799, 32.774, 30.041)","(37.007, 37.007, 37.007)","(48.624, 48.624, 48.624)","(25.64, 19.249, 9.727)","(32.14, 19.909, 13.484)","(35.929, 35.929, 12.218)","(27.693, 26.494, 10.376)"
9,s20,100,15182.28058898002,"(22.462, 22.462, 16.868)","(18.885, 18.885, 18.885)","(29.611, 29.611, 29.611)","(27.873, 27.873, 27.873)","(33.905, 33.905, 33.905)","(40.62, 40.54, 40.508)","(14.901, 14.901, 6.428)","(21.385, 21.385, 8.92)","(34.113, 34.113, 7.667)","(19.791, 19.791, 7.433)"
10,w90,100,14018.498143570214,"(25.936, 25.184, 12.878)","(13.071, 13.071, 9.396)","(19.754, 19.754, 19.752)","(30.0, 30.0, 21.0)","(30.043, 30.043, 30.043)","(42.441, 36.34, 35.855)","(25.725, 15.623, 4.506)","(28.737, 26.519, 6.806)","(37.717, 37.694, 7.758)","(20.964, 20.935, 7.857)"
11,s20w90,100,13900.571443017532,"(24.371, 24.371, 13.985)","(15.616, 15.576, 12.533)","(22.168, 22.168, 22.162)","(25.736, 25.709, 22.911)","(30.842, 30.842, 30.842)","(38.367, 38.35, 37.205)","(18.083, 18.0, 4.838)","(23.553, 23.491, 7.862)","(35.948, 35.948, 7.699)","(20.351, 20.351, 7.64)"
12,s20,125,11944.802317433614,"(22.202, 22.189, 9.507)","(12.59, 12.568, 12.502)","(23.756, 23.756, 23.677)","(22.206, 22.206, 22.206)","(28.616, 28.616, 28.616)","(30.729, 30.729, 30.729)","(10.793, 10.793, 3.709)","(20.425, 20.425, 4.377)","(34.105, 34.051, 3.195)","(14.017, 13.977, 5.268)"
13,w90,125,10996.216530198402,"(25.69, 25.69, 3.749)","(12.483, 12.483, 0.562)","(18.431, 18.431, 10.992)","(21.163, 21.122, 14.383)","(25.377, 25.326, 24.084)","(35.626, 29.34, 27.718)","(21.131, 21.131, 0.126)","(29.636, 23.35, 2.175)","(37.71, 37.705, 3.262)","(15.84, 15.84, 6.864)"
14,s20w90,125,10746.725104254014,"(23.513, 23.161, 5.533)","(9.378, 9.378, 6.35)","(16.903, 16.766, 16.271)","(19.835, 19.742, 17.041)","(25.037, 25.037, 25.037)","(32.99, 29.291, 27.719)","(15.203, 15.189, 0.488)","(24.59, 20.362, 3.38)","(35.918, 35.86, 3.24)","(14.783, 14.783, 5.348)"
15,s20,150,9518.89485811527,"(22.963, 22.963, 1.957)","(11.349, 11.349, 6.046)","(18.375, 18.375, 18.375)","(17.63, 17.63, 17.63)","(23.52, 23.52, 23.52)","(26.457, 26.226, 23.782)","(10.623, 10.58, 0.0)","(20.384, 20.253, 0.0)","(33.102, 32.992, 0.024)","(12.078, 12.078, 1.739)"
16,w90,150,8780.546580025582,"(24.927, 21.354, 0.0)","(6.582, 6.582, 0.067)","(13.261, 13.236, 7.428)","(21.16, 21.16, 5.341)","(18.678, 18.678, 18.605)","(31.799, 25.952, 21.746)","(18.223, 18.164, 0.053)","(26.374, 26.354, 0.005)","(36.75, 36.703, 0.0)","(17.945, 17.933, 0.057)"
17,s20w90,150,8545.592052050923,"(23.986, 23.355, 0.0)","(7.677, 7.677, 0.0)","(12.644, 12.613, 11.53)","(19.047, 19.047, 9.998)","(19.608, 19.608, 19.608)","(28.933, 26.685, 21.481)","(14.007, 13.982, 0.0)","(22.642, 22.545, 0.0)","(34.927, 34.922, 0.035)","(12.278, 12.189, 2.112)"
18,s20,200,6593.364877654419,"(21.603, 19.329, 0.038)","(6.907, 6.907, 0.038)","(11.738, 11.688, 7.873)","(14.622, 14.463, 7.07)","(15.429, 15.429, 14.09)","(28.834, 24.945, 12.743)","(8.063, 8.014, 0.064)","(17.093, 17.093, 0.0)","(26.371, 26.319, 0.033)","(9.252, 9.164, 0.0)"
19,w90,200,6180.052950061297,"(21.492, 17.236, 0.0)","(4.844, 0.235, 0.0)","(9.591, 9.591, 0.004)","(14.743, 14.743, 0.0)","(14.233, 14.22, 7.048)","(33.364, 33.207, 8.302)","(15.216, 14.991, 0.006)","(20.373, 20.154, 0.007)","(29.936, 29.936, 0.008)","(10.849, 10.344, 0.0)"
20,s20w90,200,5901.625086358553,"(21.561, 18.118, 0.017)","(2.723, 2.61, 0.0)","(9.643, 9.627, 0.41)","(15.709, 15.709, 0.0)","(11.633, 11.59, 10.417)","(30.584, 30.584, 9.905)","(11.487, 11.282, 0.0)","(18.424, 18.409, 0.0)","(28.235, 27.868, 0.006)","(9.655, 9.354, 0.0)"
21,s20,400,2867.7844182847307,"(15.967, 8.896, 0.0)","(0.0, 0.0, 0.0)","(5.821, 0.462, 0.0)","(2.834, 2.83, 0.043)","(8.747, 8.183, 0.008)","(28.663, 18.87, 0.0)","(0.41, 0.108, 0.0)","(10.216, 9.958, 0.0)","(17.537, 6.494, 0.0)","(5.138, 0.115, 0.0)"
22,w90,400,3369.7933585047085,"(17.941, 1.903, 0.0)","(0.0, 0.0, 0.0)","(5.795, 5.795, 0.0)","(2.574, 0.963, 0.05)","(11.46, 6.961, 0.0)","(28.748, 22.862, 0.0)","(5.499, 5.128, 0.0)","(12.784, 12.687, 0.0)","(17.647, 15.515, 0.0)","(6.548, 5.518, 0.0)"
23,s20w90,400,2965.0199554539354,"(16.819, 5.726, 0.0)","(0.0, 0.0, 0.0)","(5.468, 1.336, 0.0)","(1.554, 0.707, 0.0)","(8.642, 8.618, 0.046)","(28.328, 21.085, 0.0)","(1.995, 1.568, 0.0)","(11.608, 10.966, 0.0)","(16.0, 16.0, 0.0)","(4.796, 4.683, 0.0)"
24,s20,600,1897.8410170942068,"(12.635, 3.0, 0.0)","(0.0, 0.0, 0.0)","(1.65, 1.063, 0.021)","(0.743, 0.124, 0.0)","(5.515, 2.992, 0.0)","(23.854, 11.064, 0.003)","(0.0, 0.0, 0.0)","(5.151, 4.953, 0.0)","(12.875, 10.119, 0.0)","(1.632, 0.047, 0.0)"
25,w90,600,2221.796199421865,"(12.338, 1.949, 0.0)","(0.0, 0.0, 0.0)","(3.341, 2.539, 0.0)","(0.0, 0.0, 0.0)","(8.206, 1.088, 0.0)","(25.03, 11.298, 0.0)","(0.055, 0.055, 0.0)","(7.224, 5.604, 0.0)","(16.133, 9.135, 0.0)","(4.545, 0.313, 0.0)"
26,s20w90,600,1964.0010085943882,"(12.525, 0.183, 0.044)","(0.0, 0.0, 0.0)","(2.095, 0.122, 0.0)","(0.0, 0.0, 0.0)","(5.86, 2.812, 0.0)","(24.088, 11.185, 0.03)","(0.0, 0.0, 0.0)","(6.043, 5.706, 0.0)","(15.63, 6.251, 0.0)","(1.731, 1.572, 0.0)"
