,angle,batt kwh,total cost,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2
0,s20,25,29077.842574384526,"(39.956, 39.956, 39.956, 39.956)","(48.494, 48.494, 46.658, 43.687)","(49.147, 49.147, 49.147, 49.147)","(112.614, 112.614, 112.332, 112.192)","(59.986, 59.986, 55.1, 54.955)","(79.796, 79.796, 79.796, 79.796)","(38.476, 38.476, 26.734, 23.319)","(51.068, 51.068, 35.156, 24.947)","(42.17, 42.17, 34.758, 22.336)","(44.247, 44.247, 25.193, 20.91)"
1,s20w90_75_25,25,28160.14353875972,"(39.966, 39.966, 39.966, 39.966)","(40.611, 40.611, 37.746, 37.725)","(60.812, 60.812, 53.558, 47.418)","(112.835, 112.835, 112.181, 112.716)","(60.0, 60.0, 54.0, 54.0)","(79.789, 79.789, 79.789, 79.789)","(39.037, 39.037, 30.98, 30.512)","(51.246, 51.246, 37.404, 23.487)","(42.698, 42.698, 35.188, 22.044)","(44.609, 44.609, 25.828, 21.122)"
2,s20w90_50_50,25,27871.956277579055,"(39.96, 39.96, 39.96, 39.96)","(43.297, 43.297, 37.098, 37.044)","(52.211, 52.211, 52.051, 46.508)","(112.385, 112.385, 112.161, 112.385)","(60.122, 60.122, 54.476, 53.334)","(79.787, 79.787, 79.787, 79.787)","(39.688, 39.688, 30.286, 30.24)","(51.383, 51.383, 35.165, 23.307)","(43.197, 43.197, 36.98, 23.008)","(45.017, 45.017, 26.095, 21.286)"
3,s20w90_25_75,25,27805.939345518673,"(39.961, 39.961, 39.961, 39.961)","(40.071, 40.071, 37.373, 37.028)","(52.522, 52.522, 52.161, 46.493)","(112.812, 112.812, 112.163, 112.365)","(56.743, 56.743, 56.743, 52.246)","(79.792, 79.792, 79.792, 79.792)","(40.219, 40.219, 27.327, 23.668)","(51.552, 51.552, 37.331, 22.727)","(43.697, 43.697, 37.916, 22.619)","(45.429, 45.429, 26.715, 20.976)"
4,w90,25,28387.74957333753,"(39.961, 39.961, 39.961, 39.961)","(40.061, 40.061, 37.093, 37.048)","(56.958, 56.958, 53.142, 46.494)","(112.444, 112.444, 112.236, 112.256)","(54.479, 54.479, 54.479, 51.53)","(79.789, 79.789, 79.789, 79.789)","(40.845, 40.845, 26.902, 23.272)","(51.69, 51.69, 37.075, 22.442)","(44.203, 44.203, 37.063, 22.183)","(45.834, 45.834, 27.14, 21.15)"
5,s20,50,24355.31960609987,"(30.787, 30.787, 30.787, 30.787)","(32.392, 32.392, 32.35, 32.334)","(42.695, 42.695, 42.147, 41.499)","(53.227, 53.227, 41.787, 41.7)","(45.798, 45.798, 45.798, 45.798)","(62.304, 62.304, 62.304, 62.304)","(25.618, 25.618, 25.618, 15.99)","(38.871, 38.871, 38.871, 18.063)","(32.044, 32.044, 32.044, 17.259)","(34.303, 34.303, 34.303, 14.649)"
6,s20w90_75_25,50,23155.54125824374,"(30.483, 30.483, 30.483, 30.483)","(29.259, 29.259, 29.259, 29.235)","(38.158, 38.158, 38.158, 38.158)","(38.69, 38.69, 38.69, 38.69)","(45.862, 45.862, 44.916, 44.766)","(62.299, 62.299, 62.299, 62.299)","(26.183, 26.183, 26.183, 15.66)","(39.0, 39.0, 39.0, 18.0)","(32.616, 32.616, 32.596, 17.068)","(34.728, 34.728, 34.686, 14.85)"
7,s20w90_50_50,50,22831.16569052121,"(30.291, 30.291, 30.291, 30.291)","(29.0, 29.0, 28.0, 27.0)","(46.046, 46.046, 38.848, 37.515)","(38.627, 38.627, 38.56, 38.213)","(46.0, 46.0, 44.0, 44.0)","(62.298, 62.298, 62.298, 62.298)","(26.734, 26.734, 26.734, 15.971)","(39.108, 39.108, 39.108, 20.599)","(33.189, 33.189, 33.189, 16.7)","(35.14, 35.14, 35.112, 15.065)"
8,s20w90_25_75,50,22771.460629552323,"(30.295, 30.295, 30.295, 30.295)","(28.948, 28.948, 26.968, 26.9)","(39.778, 39.778, 36.934, 36.303)","(38.94, 38.94, 38.173, 37.796)","(45.947, 45.947, 44.312, 43.134)","(62.302, 62.302, 62.302, 62.302)","(27.466, 27.466, 27.466, 15.657)","(39.223, 39.223, 39.223, 20.577)","(33.783, 33.783, 33.783, 16.788)","(35.557, 35.557, 35.557, 14.86)"
9,w90,50,23161.62092019498,"(30.288, 30.288, 30.288, 30.288)","(29.039, 29.039, 27.528, 26.683)","(35.332, 35.332, 35.332, 35.332)","(38.726, 38.726, 38.128, 37.381)","(42.526, 42.526, 42.526, 42.526)","(62.299, 62.299, 62.299, 62.299)","(29.326, 29.326, 29.326, 20.18)","(39.336, 39.336, 39.336, 20.447)","(34.347, 34.347, 34.347, 17.245)","(35.994, 35.994, 35.994, 14.917)"
10,s20,75,21001.54608455195,"(23.952, 23.952, 23.952, 23.952)","(25.964, 25.964, 24.979, 24.833)","(35.074, 35.074, 35.074, 35.074)","(35.98, 35.98, 35.04, 33.988)","(39.029, 39.029, 39.023, 39.021)","(50.379, 50.379, 50.379, 50.379)","(17.056, 17.056, 17.05, 11.108)","(28.851, 28.851, 28.851, 13.888)","(25.029, 25.029, 25.029, 18.773)","(25.908, 25.908, 25.884, 10.07)"
11,s20w90_75_25,75,19972.020896139755,"(23.557, 23.557, 23.557, 23.557)","(29.757, 29.757, 29.747, 20.325)","(32.923, 32.923, 31.344, 30.308)","(33.0, 33.0, 31.0, 31.0)","(38.719, 38.719, 37.977, 37.282)","(49.018, 49.018, 49.018, 49.018)","(18.269, 18.269, 18.269, 10.201)","(29.043, 29.043, 29.043, 20.279)","(25.659, 25.659, 25.659, 19.587)","(26.323, 26.323, 26.323, 10.129)"
12,s20w90_50_50,75,19171.13023066275,"(23.848, 23.848, 23.848, 23.583)","(19.42, 19.42, 19.42, 19.42)","(28.435, 28.435, 28.435, 28.435)","(33.0, 33.0, 32.0, 30.0)","(38.92, 38.92, 37.236, 36.74)","(48.613, 48.613, 48.613, 48.613)","(19.488, 19.488, 19.488, 9.622)","(29.293, 29.293, 29.293, 20.613)","(26.295, 26.295, 26.295, 20.467)","(26.733, 26.733, 26.733, 10.189)"
13,s20w90_25_75,75,19009.367327380285,"(24.842, 24.842, 24.842, 22.766)","(18.866, 18.866, 17.938, 17.63)","(28.887, 28.887, 28.033, 27.673)","(29.94, 29.94, 29.94, 29.94)","(38.738, 38.738, 37.044, 36.153)","(48.614, 48.614, 48.614, 48.614)","(20.968, 20.968, 20.968, 9.555)","(29.533, 29.533, 29.533, 20.326)","(26.962, 26.962, 26.962, 20.971)","(27.141, 27.141, 27.141, 10.266)"
14,w90,75,19555.92936274154,"(25.843, 25.843, 25.843, 22.074)","(18.834, 18.834, 18.003, 17.581)","(28.925, 28.925, 27.021, 26.667)","(29.706, 29.706, 29.706, 29.706)","(35.671, 35.671, 35.671, 35.671)","(48.616, 48.616, 48.616, 48.616)","(23.329, 23.329, 23.329, 9.519)","(29.782, 29.782, 29.782, 20.124)","(27.931, 27.931, 27.896, 21.402)","(27.547, 27.547, 27.547, 10.364)"
15,s20,100,18159.540654687054,"(18.885, 18.885, 18.885, 18.885)","(18.441, 18.441, 18.441, 18.441)","(28.819, 28.819, 28.798, 28.795)","(28.906, 28.906, 27.97, 27.854)","(35.783, 35.783, 33.966, 33.543)","(40.405, 40.405, 40.405, 40.382)","(10.801, 10.801, 10.801, 8.674)","(20.615, 20.615, 20.615, 9.017)","(20.586, 20.586, 20.586, 20.586)","(18.494, 18.494, 18.494, 6.884)"
16,s20w90_75_25,100,16674.19525577289,"(19.0, 19.0, 19.0, 18.0)","(15.899, 15.899, 13.984, 13.908)","(25.822, 25.822, 24.004, 23.609)","(25.793, 25.793, 25.049, 24.646)","(33.0, 33.0, 32.039, 30.965)","(38.162, 38.162, 38.162, 38.162)","(11.968, 11.968, 11.968, 7.493)","(20.859, 20.859, 20.855, 8.485)","(21.282, 21.282, 21.282, 21.282)","(18.927, 18.927, 18.927, 6.968)"
17,s20w90_50_50,100,16317.668779577243,"(20.0, 20.0, 20.0, 20.0)","(19.838, 19.838, 19.838, 10.36)","(22.863, 22.863, 21.102, 20.379)","(29.735, 29.735, 29.735, 21.417)","(32.901, 32.901, 31.256, 30.486)","(36.516, 36.516, 36.516, 36.516)","(13.083, 13.083, 13.083, 6.334)","(21.11, 21.11, 21.11, 7.984)","(21.989, 21.989, 21.989, 21.989)","(19.35, 19.35, 19.35, 9.54)"
18,s20w90_25_75,100,15895.424877045418,"(20.999, 20.999, 20.999, 15.3)","(13.01, 13.01, 12.972, 9.497)","(19.791, 19.791, 19.785, 19.732)","(30.0, 30.0, 30.0, 21.0)","(33.0, 33.0, 31.0, 30.0)","(35.78, 35.78, 35.78, 35.78)","(15.121, 15.121, 15.121, 4.699)","(21.342, 21.342, 21.342, 7.523)","(22.706, 22.706, 22.706, 22.706)","(19.762, 19.762, 19.762, 9.555)"
19,w90,100,16235.053592002982,"(22.002, 22.002, 22.002, 14.412)","(13.999, 13.999, 13.966, 7.624)","(20.487, 20.487, 20.487, 18.664)","(22.829, 22.829, 22.632, 22.497)","(29.564, 29.564, 29.564, 29.564)","(35.771, 35.771, 35.771, 35.771)","(18.699, 18.699, 18.699, 4.05)","(22.54, 22.54, 22.537, 6.859)","(23.473, 23.473, 23.473, 23.423)","(20.181, 20.181, 20.181, 7.353)"
20,s20,125,15993.202684262995,"(14.832, 14.832, 14.832, 14.462)","(19.916, 19.916, 19.916, 10.687)","(22.838, 22.838, 22.838, 22.838)","(29.736, 29.736, 29.725, 20.214)","(28.205, 28.205, 28.205, 28.205)","(30.38, 30.38, 30.38, 30.38)","(9.243, 9.243, 9.226, 4.85)","(13.657, 13.657, 13.657, 13.657)","(18.751, 18.751, 18.751, 18.751)","(12.499, 12.499, 12.499, 4.819)"
21,s20w90_75_25,125,14003.30332324971,"(15.783, 15.783, 15.783, 11.956)","(9.909, 9.909, 9.897, 7.111)","(19.0, 19.0, 18.0, 18.0)","(19.134, 19.134, 19.134, 19.134)","(25.476, 25.476, 25.476, 25.476)","(28.158, 28.158, 28.158, 28.158)","(8.935, 8.935, 8.935, 8.822)","(13.905, 13.905, 13.905, 13.905)","(19.411, 19.411, 19.411, 19.411)","(12.938, 12.938, 12.938, 4.923)"
22,s20w90_50_50,125,13431.802670342264,"(16.755, 16.755, 16.755, 10.323)","(10.356, 10.356, 10.055, 3.707)","(16.789, 16.789, 16.732, 13.957)","(22.107, 22.107, 21.117, 14.788)","(25.929, 25.929, 24.979, 24.844)","(27.826, 27.826, 27.826, 27.826)","(10.351, 10.351, 10.344, 2.931)","(14.163, 14.163, 14.163, 14.163)","(20.082, 20.082, 20.082, 20.082)","(13.408, 13.408, 13.408, 4.996)"
23,s20w90_25_75,125,13413.568667838159,"(17.727, 17.727, 17.727, 9.175)","(11.796, 11.796, 11.796, 0.694)","(19.0, 19.0, 19.0, 11.0)","(21.887, 21.887, 20.981, 14.67)","(26.0, 26.0, 26.0, 24.0)","(27.91, 27.91, 27.91, 27.857)","(11.243, 11.243, 11.23, 2.117)","(14.426, 14.426, 14.426, 14.426)","(20.771, 20.771, 20.771, 20.771)","(13.894, 13.894, 13.894, 5.022)"
24,w90,125,14014.143399371069,"(18.723, 18.723, 18.723, 8.008)","(11.948, 11.948, 11.948, 0.0)","(18.894, 18.894, 18.833, 10.015)","(21.819, 21.819, 21.819, 13.79)","(25.895, 25.895, 24.022, 23.853)","(29.058, 29.058, 29.058, 28.915)","(14.201, 14.201, 14.201, 0.648)","(15.566, 15.566, 15.566, 13.932)","(21.464, 21.464, 21.464, 21.464)","(14.36, 14.36, 14.36, 5.111)"
25,s20,150,13524.678420084992,"(12.9, 12.9, 12.9, 12.9)","(10.232, 10.232, 9.791, 5.964)","(19.0, 19.0, 19.0, 17.0)","(19.295, 19.295, 18.315, 16.61)","(26.0, 26.0, 24.0, 23.0)","(24.564, 24.564, 24.564, 24.198)","(8.235, 8.235, 8.203, 0.718)","(11.958, 11.958, 11.958, 11.943)","(16.969, 16.969, 16.969, 16.969)","(7.434, 7.434, 7.434, 4.139)"
26,s20w90_75_25,150,12041.71519737757,"(15.045, 15.045, 15.045, 5.286)","(9.022, 9.022, 8.969, 0.036)","(12.947, 12.947, 12.947, 12.677)","(19.615, 19.615, 19.615, 11.337)","(22.816, 22.816, 20.995, 20.503)","(25.199, 25.199, 25.199, 22.336)","(8.66, 8.66, 8.66, 0.406)","(12.4, 12.4, 12.4, 12.359)","(17.669, 17.669, 17.669, 17.603)","(7.917, 7.917, 7.917, 3.737)"
27,s20w90_50_50,150,11396.782515484812,"(15.427, 15.427, 15.427, 4.222)","(6.865, 6.865, 6.865, 0.016)","(15.448, 15.448, 15.443, 6.616)","(20.094, 20.094, 19.955, 7.572)","(19.315, 19.315, 19.315, 19.315)","(25.611, 25.611, 25.611, 21.876)","(8.872, 8.872, 8.871, 1.273)","(12.997, 12.997, 12.997, 12.993)","(18.271, 18.271, 18.271, 18.271)","(8.41, 8.41, 8.41, 3.382)"
28,s20w90_25_75,150,11340.005610272628,"(15.794, 15.794, 15.794, 4.975)","(6.59, 6.59, 6.59, 0.005)","(15.905, 15.905, 15.905, 3.748)","(21.779, 21.779, 20.987, 5.358)","(18.699, 18.699, 18.615, 18.609)","(25.875, 25.875, 25.875, 22.011)","(9.168, 9.168, 9.168, 3.812)","(13.618, 13.618, 13.618, 13.613)","(18.934, 18.934, 18.934, 18.934)","(8.88, 8.88, 8.862, 4.006)"
29,w90,150,11862.037042102706,"(15.848, 15.848, 15.848, 7.235)","(6.396, 6.396, 6.396, 0.195)","(16.704, 16.704, 16.694, 1.914)","(21.842, 21.842, 21.842, 4.721)","(18.23, 18.23, 18.23, 18.23)","(25.956, 25.956, 25.956, 22.73)","(10.776, 10.776, 10.776, 4.68)","(14.26, 14.26, 14.26, 14.26)","(19.595, 19.595, 19.595, 19.595)","(9.382, 9.382, 9.36, 3.255)"
30,s20,200,10121.545145334103,"(12.839, 12.839, 12.839, 8.334)","(6.457, 6.457, 6.212, 0.0)","(12.162, 12.162, 12.162, 6.255)","(16.0, 16.0, 16.0, 5.0)","(15.79, 15.79, 15.712, 13.029)","(22.94, 22.94, 22.94, 17.862)","(5.109, 5.109, 5.109, 0.057)","(10.507, 10.507, 10.507, 10.507)","(13.492, 13.492, 13.492, 13.492)","(5.822, 5.822, 5.822, 1.071)"
31,s20w90_75_25,200,8813.907470023976,"(12.761, 12.761, 12.761, 8.729)","(3.226, 3.226, 2.833, 0.0)","(8.76, 8.76, 8.76, 2.862)","(16.606, 16.606, 16.606, 0.0)","(12.286, 12.286, 12.278, 11.128)","(22.91, 22.91, 22.91, 17.27)","(5.242, 5.242, 5.242, 0.525)","(11.125, 11.125, 11.097, 11.086)","(14.126, 14.126, 14.126, 14.126)","(5.918, 5.918, 5.918, 1.095)"
32,s20w90_50_50,200,8097.779489090839,"(12.059, 12.059, 12.059, 12.035)","(1.846, 1.846, 0.449, 0.0)","(7.523, 7.523, 7.5, 0.038)","(15.03, 15.03, 15.006, 0.0)","(9.55, 9.55, 9.55, 9.55)","(23.029, 23.029, 23.029, 17.894)","(5.435, 5.435, 5.435, 1.315)","(11.721, 11.721, 11.721, 11.721)","(14.766, 14.766, 14.766, 14.766)","(5.911, 5.911, 5.911, 1.835)"
33,s20w90_25_75,200,8224.758505681491,"(12.968, 12.968, 12.968, 9.033)","(3.0, 3.0, 0.0, 0.0)","(6.469, 6.469, 6.469, 0.0)","(14.752, 14.752, 14.752, 0.0)","(9.424, 9.424, 9.424, 9.006)","(24.956, 24.956, 24.956, 15.784)","(6.02, 6.02, 6.02, 4.882)","(12.336, 12.336, 12.336, 12.336)","(15.402, 15.402, 15.402, 15.394)","(5.916, 5.916, 5.916, 2.972)"
34,w90,200,8611.207044231549,"(14.713, 14.713, 14.713, 3.015)","(0.803, 0.803, 0.623, 0.011)","(5.923, 5.923, 5.884, 0.0)","(14.592, 14.592, 14.592, 0.19)","(8.834, 8.834, 8.834, 8.834)","(25.645, 25.645, 25.645, 17.005)","(8.37, 8.37, 8.37, 4.461)","(12.978, 12.978, 12.978, 12.967)","(18.749, 18.749, 18.746, 11.876)","(6.009, 6.009, 6.009, 5.902)"
35,s20,400,3428.9267547437785,"(9.0, 9.0, 9.0, 5.0)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.591, 0.591, 0.152, 0.0)","(15.914, 15.914, 15.914, 10.664)","(0.0, 0.0, 0.0, 0.0)","(5.81, 5.81, 5.81, 5.808)","(8.979, 8.979, 8.979, 8.865)","(2.315, 2.315, 2.315, 0.111)"
36,s20w90_75_25,400,3400.020092324008,"(8.801, 8.801, 8.801, 6.193)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(15.606, 15.606, 15.606, 12.092)","(0.0, 0.0, 0.0, 0.0)","(6.167, 6.167, 6.167, 6.167)","(9.489, 9.489, 9.489, 9.478)","(2.551, 2.551, 2.466, 0.0)"
37,s20w90_50_50,400,3464.180218403629,"(8.656, 8.656, 8.656, 7.081)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(14.988, 14.988, 14.977, 14.955)","(0.0, 0.0, 0.0, 0.0)","(8.261, 8.261, 8.261, 2.414)","(10.03, 10.03, 10.03, 10.03)","(2.739, 2.739, 2.739, 0.0)"
38,s20w90_25_75,400,3674.8850193587346,"(8.772, 8.772, 8.772, 7.21)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(1.465, 1.465, 0.0, 0.0)","(15.949, 15.949, 15.949, 13.82)","(0.0, 0.0, 0.0, 0.0)","(7.326, 7.326, 7.326, 7.326)","(10.565, 10.565, 10.565, 10.565)","(2.95, 2.95, 2.95, 0.114)"
39,w90,400,4057.075166955524,"(9.0, 9.0, 9.0, 7.0)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(2.107, 2.107, 1.609, 0.0)","(15.747, 15.747, 15.747, 15.747)","(1.009, 1.009, 0.977, 0.949)","(7.966, 7.966, 7.966, 7.966)","(11.15, 11.15, 11.146, 11.07)","(2.873, 2.873, 2.799, 2.11)"
40,s20,600,2303.5942343510415,"(5.576, 5.576, 5.576, 1.404)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(12.708, 12.708, 12.708, 5.305)","(0.0, 0.0, 0.0, 0.0)","(2.701, 2.701, 2.664, 1.455)","(7.04, 7.04, 7.04, 6.933)","(0.0, 0.0, 0.0, 0.0)"
41,s20w90_75_25,600,2360.291556570754,"(6.0, 6.0, 6.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(12.705, 12.705, 12.705, 5.798)","(0.0, 0.0, 0.0, 0.0)","(3.024, 3.024, 3.024, 1.876)","(7.546, 7.546, 7.546, 7.546)","(0.0, 0.0, 0.0, 0.0)"
42,s20w90_50_50,600,2427.8455441807237,"(5.845, 5.845, 5.845, 0.461)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(12.651, 12.651, 12.651, 7.2)","(0.0, 0.0, 0.0, 0.0)","(3.093, 3.093, 3.093, 3.075)","(8.088, 8.088, 8.088, 8.088)","(0.0, 0.0, 0.0, 0.0)"
