,angle,batt kwh,total cost,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2
0,s20,25,22953.702858296358,"(40.0, 40.0, 0.0)","(48.636, 43.682, 2.674)","(56.0, 56.0, 11.0)","(88.204, 88.204, 19.226)","(72.963, 60.591, 42.825)","(79.79, 79.79, 79.79)","(38.807, 32.573, 14.742)","(52.527, 29.217, 14.35)","(42.181, 35.407, 10.831)","(44.533, 28.487, 15.035)"
1,w90,25,20283.8617354823,"(39.977, 39.977, 0.0)","(43.222, 37.028, 4.929)","(53.844, 46.51, 0.326)","(80.0, 80.0, 0.0)","(77.084, 63.276, 18.878)","(79.787, 79.787, 79.787)","(42.938, 36.566, 11.317)","(52.009, 30.649, 8.588)","(46.18, 32.621, 11.561)","(45.846, 26.762, 15.626)"
2,s20w90,25,20864.884615525516,"(39.961, 39.961, 0.0)","(41.761, 37.028, 3.084)","(57.402, 46.549, 5.01)","(80.0, 80.0, 0.0)","(69.835, 62.059, 28.721)","(79.787, 79.787, 79.735)","(41.157, 35.851, 11.473)","(52.187, 30.056, 11.472)","(43.948, 39.362, 10.926)","(45.166, 27.244, 15.35)"
3,s20,50,16425.477259035408,"(30.801, 30.801, 0.0)","(33.512, 32.326, 0.832)","(50.063, 50.048, 0.0)","(49.241, 47.664, 0.094)","(61.91, 59.896, 20.84)","(72.707, 72.707, 49.021)","(25.625, 25.611, 3.598)","(38.897, 29.219, 0.015)","(32.13, 32.104, 0.375)","(35.486, 27.005, 3.745)"
4,w90,50,14001.34822774778,"(30.327, 30.327, 0.01)","(26.767, 26.767, 0.968)","(35.305, 35.305, 0.029)","(37.359, 37.359, 1.223)","(53.534, 53.296, 0.0)","(94.832, 88.33, 14.498)","(29.297, 29.282, 0.0)","(39.413, 29.948, 0.0)","(34.611, 34.611, 0.036)","(36.145, 26.314, 4.395)"
5,s20w90,50,14418.502828389132,"(30.291, 30.291, 0.0)","(27.052, 27.052, 0.893)","(37.328, 37.328, 0.0)","(38.315, 38.315, 3.745)","(57.132, 55.986, 3.181)","(86.747, 86.511, 25.422)","(26.756, 25.844, 0.043)","(39.113, 29.988, 0.0)","(33.224, 33.13, 0.0)","(35.201, 25.863, 4.108)"
6,s20,75,12712.382004551671,"(23.955, 23.955, 0.007)","(24.82, 24.82, 7.233)","(42.112, 42.09, 0.064)","(37.607, 37.607, 0.07)","(64.783, 59.437, 1.809)","(74.766, 74.766, 24.568)","(17.074, 17.074, 0.0)","(28.817, 22.94, 0.0)","(27.629, 27.602, 0.002)","(25.888, 22.026, 0.015)"
7,w90,75,10792.108967977056,"(25.865, 23.368, 0.009)","(17.605, 17.605, 1.58)","(26.681, 26.681, 0.109)","(29.633, 29.633, 1.501)","(41.911, 41.911, 0.0)","(75.709, 75.706, 3.489)","(23.421, 15.697, 0.0)","(29.815, 19.965, 0.0)","(31.562, 31.562, 0.054)","(27.544, 22.6, 0.0)"
8,s20w90,75,11168.86924623467,"(23.869, 23.746, 0.0)","(19.4, 19.4, 3.466)","(28.521, 28.521, 0.0)","(30.349, 30.349, 3.039)","(45.687, 45.687, 0.046)","(84.605, 84.605, 4.739)","(19.529, 19.453, 0.0)","(29.304, 20.2, 0.005)","(29.554, 29.554, 0.008)","(26.727, 23.017, 0.034)"
9,s20,100,10001.237255841812,"(18.9, 18.9, 0.0)","(18.379, 18.379, 6.456)","(34.614, 34.614, 0.023)","(30.956, 30.956, 0.009)","(48.14, 48.14, 0.0)","(55.656, 55.656, 22.109)","(11.999, 11.999, 0.066)","(20.638, 18.9, 0.0)","(24.985, 24.985, 0.0)","(18.599, 15.925, 0.0)"
